Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Atlantic,Colombia,11.5,51.0,28.870000000000005,25.07000000000005,32.33000000000004,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,1.5,60.0,28.90000000000003,23.140000000000043,32.420000000000016,2005-08,Central Pacific Ocean,0.0,-160.0
Pacific,Marshall Islands,1.0,60.0,28.360000000000017,24.350000000000023,31.220000000000027,1992-12,Central Pacific Ocean,0.0,-160.0
Pacific,Marshall Islands,2.0,60.0,28.40000000000003,25.08000000000004,31.920000000000016,1992-12,Central Pacific Ocean,0.0,-160.0
Pacific,Tuvalu,,60.0,29.19,26.05000000000001,31.90000000000003,2002-05,Central Pacific Ocean,0.0,-160.0
Pacific,Marshall Islands,1.0,62.0,28.360000000000017,24.350000000000023,32.14000000000004,1993-05,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,3.0,70.0,28.78000000000003,24.04000000000002,32.54000000000002,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,3.5,70.0,28.970000000000027,23.180000000000007,32.08000000000004,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,6.0,75.0,28.610000000000017,24.52000000000004,33.02000000000004,2005-10,Central Pacific Ocean,0.0,-160.0
Pacific,Palau,15.0,75.0,28.710000000000036,24.79000000000002,31.510000000000048,1998-09,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,1.5,80.0,28.74000000000001,24.58000000000004,32.55000000000001,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,6.0,80.0,28.610000000000017,24.52000000000004,33.02000000000004,2005-10,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,2.5,85.0,28.670000000000016,24.870000000000005,32.18000000000001,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,6.0,85.0,28.610000000000017,24.52000000000004,33.02000000000004,2005-10,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,1.5,90.0,28.660000000000025,24.640000000000043,32.02000000000004,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,6.5,90.0,26.56,21.390000000000043,31.600000000000023,2010-09,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,6.0,90.0,28.610000000000017,24.52000000000004,33.02000000000004,2005-10,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,6.0,95.0,28.610000000000017,24.52000000000004,33.02000000000004,2005-10,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,12.0,100.0,28.55000000000001,24.360000000000017,32.460000000000036,2005-09,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,4.5,75.0,29.010000000000048,22.99000000000001,32.82000000000005,2005-08,Central Pacific Ocean,0.0,-160.0
Atlantic,Colombia,9.5,75.0,28.74000000000001,24.58000000000004,32.55000000000001,2005-08,Central Pacific Ocean,0.0,-160.0
