Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Red Sea,Israel,,75.0,22.58000000000004,14.260000000000048,30.200000000000045,1998-07,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2005-05,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2005-05,North Red Sea,25.0,35.0
Red Sea,Egypt,12.0,0.0,25.450000000000045,20.0,31.55000000000001,2007-09,North Red Sea,25.0,35.0
Red Sea,Egypt,9.0,0.0,25.450000000000045,20.0,31.55000000000001,2012-09,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2012-09,North Red Sea,25.0,35.0
Red Sea,Egypt,4.5,0.0,25.450000000000045,20.0,31.55000000000001,2004-09,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2014-05,North Red Sea,25.0,35.0
Red Sea,Egypt,8.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2013-04,North Red Sea,25.0,35.0
Red Sea,Egypt,8.0,0.0,25.450000000000045,20.0,31.55000000000001,2004-09,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2009-09,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2014-03,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2007-05,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.450000000000045,20.0,31.55000000000001,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2006-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-05,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.28000000000003,19.390000000000043,31.31,2004-11,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.28000000000003,19.390000000000043,31.31,2004-11,North Red Sea,25.0,35.0
Red Sea,Egypt,7.5,0.0,25.04000000000002,18.480000000000015,31.110000000000017,2005-10,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.04000000000002,18.480000000000015,31.110000000000017,2017-03,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.04000000000002,18.480000000000015,31.110000000000017,2017-03,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,25.04000000000002,18.480000000000015,31.110000000000017,2005-10,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.04000000000002,18.480000000000015,31.110000000000017,2005-10,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.05000000000001,18.480000000000015,31.110000000000017,2017-03,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.05000000000001,18.480000000000015,31.110000000000017,2017-03,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,25.05000000000001,18.480000000000015,31.110000000000017,2005-10,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.05000000000001,18.480000000000015,31.110000000000017,2005-10,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.90000000000003,19.55000000000001,31.200000000000045,2009-03,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.950000000000045,19.610000000000017,30.52000000000004,2008-08,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,24.81,19.27000000000004,30.170000000000016,2009-02,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,25.129999999999995,19.720000000000027,30.74000000000001,2003-06,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.69,19.670000000000016,30.120000000000005,2004-09,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.69,19.670000000000016,30.120000000000005,2003-06,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,24.100000000000023,18.83000000000004,29.58000000000004,2004-11,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.100000000000023,18.83000000000004,29.58000000000004,2005-08,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.100000000000023,18.83000000000004,29.58000000000004,2004-11,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.0,18.58000000000004,29.730000000000015,2006-08,North Red Sea,25.0,35.0
Red Sea,Egypt,15.0,0.0,24.0,18.58000000000004,29.730000000000015,2006-08,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,24.0,18.58000000000004,29.730000000000015,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,4.0,0.0,24.0,18.58000000000004,29.730000000000015,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,24.0,18.58000000000004,29.730000000000015,2005-07,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,23.90000000000003,18.54000000000002,29.100000000000023,2005-08,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,23.83000000000004,18.5,29.0,2003-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,23.83000000000004,18.5,29.0,2005-07,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,23.83000000000004,18.5,29.0,2006-08,North Red Sea,25.0,35.0
Red Sea,Egypt,10.5,0.0,23.83000000000004,18.5,29.0,2005-07,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.879999999999995,20.24000000000001,31.890000000000043,2009-12,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.879999999999995,20.24000000000001,31.890000000000043,2012-02,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.879999999999995,20.24000000000001,31.890000000000043,2012-02,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.930000000000007,20.24000000000001,31.890000000000043,2018-07,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.930000000000007,20.24000000000001,31.890000000000043,2018-07,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.879999999999995,20.24000000000001,31.890000000000043,2009-12,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.56,20.24000000000001,32.370000000000005,2005-12,North Red Sea,25.0,35.0
Red Sea,Egypt,5.5,0.0,25.56,20.24000000000001,32.370000000000005,2007-06,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.56,20.24000000000001,32.370000000000005,2004-10,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.56,20.24000000000001,32.370000000000005,2004-10,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2010-02,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.5,19.620000000000005,31.670000000000016,2018-07,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.5,19.620000000000005,31.670000000000016,2018-07,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2015-06,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2015-06,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2013-06,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2013-06,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2011-11,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2010-02,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2011-11,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.470000000000027,19.890000000000043,31.590000000000032,2005-05,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.470000000000027,19.890000000000043,31.590000000000032,2007-09,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.470000000000027,19.890000000000043,31.590000000000032,2012-05,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2005-09,North Red Sea,25.0,35.0
Red Sea,Egypt,12.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2005-09,North Red Sea,25.0,35.0
Red Sea,Egypt,12.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2006-05,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.5,19.620000000000005,31.670000000000016,2019-08,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.5,19.620000000000005,31.670000000000016,2019-08,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2017-05,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2017-05,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.450000000000045,20.0,31.55000000000001,2007-10,North Red Sea,25.0,35.0
Red Sea,Egypt,14.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-09,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2006-09,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-09,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.450000000000045,20.0,31.55000000000001,2004-09,North Red Sea,25.0,35.0
Red Sea,Egypt,10.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-12,North Red Sea,25.0,35.0
Red Sea,Egypt,12.0,0.0,25.460000000000036,20.25,31.850000000000023,2006-05,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2007-10,North Red Sea,25.0,35.0
Red Sea,Egypt,8.0,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2013-04,North Red Sea,25.0,35.0
Red Sea,Egypt,7.5,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2009-09,North Red Sea,25.0,35.0
Red Sea,Egypt,12.0,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2007-10,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2004-09,North Red Sea,25.0,35.0
Red Sea,Egypt,8.0,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.5,0.0,25.430000000000007,19.950000000000045,31.430000000000007,2005-03,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,26.120000000000005,20.57000000000005,31.82000000000005,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,10.5,0.0,26.120000000000005,20.57000000000005,31.82000000000005,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.390000000000043,20.25,31.260000000000048,2012-09,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.390000000000043,20.25,31.260000000000048,2007-06,North Red Sea,25.0,35.0
Red Sea,Egypt,4.0,0.0,25.390000000000043,20.25,31.260000000000048,2005-09,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.390000000000043,20.25,31.260000000000048,2010-02,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.390000000000043,20.25,31.260000000000048,2010-02,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.390000000000043,20.25,31.260000000000048,2012-02,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.390000000000043,20.25,31.260000000000048,2012-02,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.390000000000043,20.25,31.260000000000048,2015-06,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.390000000000043,20.25,31.260000000000048,2015-06,North Red Sea,25.0,35.0
Red Sea,Egypt,6.0,0.0,25.370000000000005,20.30000000000001,31.210000000000036,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,12.0,0.0,25.370000000000005,20.30000000000001,31.210000000000036,2004-05,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.370000000000005,20.30000000000001,31.210000000000036,2005-03,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.370000000000005,20.30000000000001,31.210000000000036,2007-10,North Red Sea,25.0,35.0
Red Sea,Egypt,11.0,0.0,25.370000000000005,20.30000000000001,31.210000000000036,2007-10,North Red Sea,25.0,35.0
Red Sea,Egypt,5.0,0.0,25.340000000000032,19.710000000000036,31.350000000000023,2005-09,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.340000000000032,19.710000000000036,31.350000000000023,2010-02,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.340000000000032,19.710000000000036,31.350000000000023,2010-02,North Red Sea,25.0,35.0
Red Sea,Egypt,8.5,0.0,25.340000000000032,19.710000000000036,31.350000000000023,2012-02,North Red Sea,25.0,35.0
Red Sea,Egypt,3.5,0.0,25.340000000000032,19.710000000000036,31.350000000000023,2012-02,North Red Sea,25.0,35.0
