Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Atlantic,United Kingdom,7.0,50.9,27.170000000000016,23.970000000000027,30.99000000000001,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,France,12.0,55.0,27.29000000000002,24.210000000000036,30.920000000000016,2005-11,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,2.0,58.1,27.090000000000032,23.24000000000001,30.870000000000005,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,5.0,59.4,27.160000000000025,23.950000000000045,31.140000000000043,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,20.0,59.5,27.15000000000003,24.170000000000016,30.870000000000005,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,10.0,60.0,27.140000000000043,23.860000000000017,30.99000000000001,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,5.0,60.0,27.160000000000025,23.950000000000045,31.140000000000043,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,20.0,60.0,27.15000000000003,24.170000000000016,30.870000000000005,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,15.0,60.0,27.140000000000043,23.860000000000017,30.99000000000001,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,5.0,60.0,27.100000000000023,23.58000000000004,31.05000000000001,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,France,11.0,61.0,27.120000000000005,23.49000000000001,30.230000000000015,2005-08,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,3.0,63.8,27.170000000000016,23.860000000000017,30.760000000000048,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,10.0,63.8,27.170000000000016,23.860000000000017,30.760000000000048,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,10.5,67.1,27.170000000000016,23.860000000000017,30.760000000000048,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,4.0,70.4,27.160000000000025,23.950000000000045,31.140000000000043,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,8.5,71.6,27.140000000000043,23.860000000000017,30.99000000000001,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,3.0,73.5,27.090000000000032,23.24000000000001,30.870000000000005,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,3.0,73.8,27.05000000000001,23.24000000000001,30.79000000000002,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,5.0,75.0,27.05000000000001,23.24000000000001,30.79000000000002,2006-01,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,France,11.0,78.0,27.260000000000048,23.15000000000003,30.920000000000016,2005-12,NorthEast Atlantic Ocean,45.0,-10.0
Indian,United Kingdom,3.5,80.0,27.99000000000001,24.110000000000017,31.610000000000017,2005-04,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,14.5,90.0,27.140000000000043,23.860000000000017,30.99000000000001,2005-09,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,15.0,90.0,27.140000000000043,23.860000000000017,30.99000000000001,2005-09,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,20.5,90.0,27.15000000000003,24.170000000000016,30.870000000000005,2005-09,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,,90.0,27.110000000000017,23.57000000000005,31.110000000000017,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,30.0,90.0,27.110000000000017,23.57000000000005,31.110000000000017,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,20.0,95.0,27.15000000000003,24.170000000000016,30.870000000000005,2005-09,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,20.0,95.0,27.15000000000003,24.170000000000016,30.870000000000005,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,15.0,95.0,27.140000000000043,23.860000000000017,30.99000000000001,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,5.0,95.0,27.100000000000023,23.58000000000004,31.05000000000001,2005-10,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,5.5,97.5,27.090000000000032,23.24000000000001,30.870000000000005,2005-09,NorthEast Atlantic Ocean,45.0,-10.0
Atlantic,United Kingdom,,75.0,27.110000000000017,23.57000000000005,31.110000000000017,1998-09,NorthEast Atlantic Ocean,45.0,-10.0
