Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Pacific,Cambodia,7.0,60.0,29.08000000000004,25.58000000000004,33.860000000000014,2010-06,NorthWest Pacific Ocean,35.0,140.0
Indian,Thailand,,60.0,29.510000000000048,25.640000000000043,33.450000000000045,2010-05,NorthWest Pacific Ocean,35.0,140.0
Pacific,Cambodia,7.0,70.0,29.129999999999995,24.77000000000004,33.79000000000002,2010-07,NorthWest Pacific Ocean,35.0,140.0
Pacific,Japan,,70.0,25.720000000000027,20.480000000000015,32.370000000000005,2007-08,NorthWest Pacific Ocean,35.0,140.0
Indian,Thailand,,70.0,29.260000000000048,25.77000000000004,32.950000000000045,2010-05,NorthWest Pacific Ocean,35.0,140.0
Pacific,Thailand,,75.0,28.879999999999995,22.94,33.360000000000014,2010-05,NorthWest Pacific Ocean,35.0,140.0
Pacific,Cambodia,,80.0,29.28000000000003,25.80000000000001,33.77000000000004,2010-04,NorthWest Pacific Ocean,35.0,140.0
Pacific,Cambodia,7.0,80.0,29.08000000000004,25.58000000000004,33.860000000000014,2010-05,NorthWest Pacific Ocean,35.0,140.0
Pacific,Cambodia,7.0,80.0,29.220000000000027,24.879999999999995,33.89000000000004,2010-07,NorthWest Pacific Ocean,35.0,140.0
Pacific,Japan,5.0,80.0,25.720000000000027,20.480000000000015,32.370000000000005,2007-08,NorthWest Pacific Ocean,35.0,140.0
Pacific,Philippines,12.0,80.0,28.390000000000043,24.450000000000045,31.54000000000002,1998-08,NorthWest Pacific Ocean,35.0,140.0
Pacific,Cambodia,6.0,82.0,29.08000000000004,25.58000000000004,33.860000000000014,2010-06,NorthWest Pacific Ocean,35.0,140.0
Pacific,Malaysia,,85.0,28.680000000000007,25.0,33.14000000000004,2010-03,NorthWest Pacific Ocean,35.0,140.0
Pacific,Malaysia,,85.0,28.600000000000023,24.930000000000007,32.710000000000036,2010-03,NorthWest Pacific Ocean,35.0,140.0
Pacific,Malaysia,25.0,85.0,28.620000000000005,24.470000000000027,32.360000000000014,2010-03,NorthWest Pacific Ocean,35.0,140.0
Indian,Thailand,,85.0,29.78000000000003,25.840000000000032,33.450000000000045,2010-05,NorthWest Pacific Ocean,35.0,140.0
Indian,Thailand,,85.0,29.629999999999995,25.670000000000016,32.99000000000001,2010-05,NorthWest Pacific Ocean,35.0,140.0
