Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Arabian Gulf,United Arab Emirates,4.0,60.0,27.610000000000014,289.56,310.77,2011-09
Arabian Gulf,Iran,,61.06,27.379999999999995,291.47,308.53,2007-08
Arabian Gulf,United Arab Emirates,5.5,70.0,27.730000000000018,290.03,310.05,2009-08
Arabian Gulf,Bahrain,,80.0,25.80000000000001,286.89,310.62,1996-09
Arabian Gulf,Bahrain,,80.0,25.970000000000027,287.73,310.72,1996-10
Arabian Gulf,United Arab Emirates,4.0,80.0,27.670000000000016,290.27,309.84,2011-09
Arabian Gulf,Bahrain,,100.0,25.930000000000007,287.27,311.0,1996-09
Arabian Gulf,Bahrain,,100.0,25.810000000000002,287.51,310.26,1996-09
Arabian Gulf,Bahrain,,100.0,25.980000000000018,287.36,310.54,1996-09
Arabian Gulf,Bahrain,,100.0,25.99000000000001,287.51,310.61,1996-09
Arabian Gulf,Bahrain,,100.0,25.970000000000027,287.73,310.72,1996-10
Arabian Gulf,United Arab Emirates,,100.0,27.700000000000045,290.86,309.5,1996-06
Arabian Gulf,Bahrain,,75.0,25.810000000000002,287.51,310.26,1998-08
Arabian Gulf,Bahrain,,75.0,25.99000000000001,288.45,310.44,1998-08
Arabian Gulf,Bahrain,,75.0,26.04000000000002,289.0,309.95,1998-08
Arabian Gulf,Kuwait,,75.0,24.450000000000045,286.02,308.34,2000-09
Arabian Gulf,Saudi Arabia,,75.0,25.629999999999995,287.01,310.11,1998-08
Arabian Gulf,United Arab Emirates,,75.0,27.610000000000014,290.16,309.86,2000-07
Arabian Gulf,United Arab Emirates,,75.0,27.78000000000003,290.92,309.5,2002-08
Arabian Gulf,United Arab Emirates,,75.0,27.689999999999998,291.15,309.64,1996-08
Arabian Gulf,United Arab Emirates,,75.0,27.689999999999998,291.15,309.64,1998-08
Arabian Gulf,United Arab Emirates,,75.0,27.5,289.65,313.14,1996-08
Arabian Gulf,United Arab Emirates,,75.0,27.400000000000034,289.5,313.14,1998-08
Arabian Gulf,United Arab Emirates,4.5,75.0,27.80000000000001,290.98,313.14,2007-09
Arabian Gulf,Bahrain,,30.5,26.30000000000001,289.54,309.26,1998-08
Arabian Gulf,Kuwait,,30.5,24.55000000000001,286.07,309.11,2000-09
Arabian Gulf,United Arab Emirates,,30.5,27.57000000000005,290.39,310.57,2007-09
Arabian Gulf,Saudi Arabia,,5.5,25.670000000000016,287.13,308.81,1998-08
Arabian Gulf,United Arab Emirates,,5.5,27.700000000000045,290.86,309.5,1998-06
Arabian Gulf,United Arab Emirates,,5.5,27.710000000000036,290.04,310.11,1996-08
Arabian Gulf,United Arab Emirates,,5.5,27.74000000000001,291.53,309.56,1996-08
Arabian Gulf,Iran,,,26.600000000000023,293.04,313.14,2009-10
Arabian Gulf,Oman,6.5,,27.150000000000034,292.12,308.03,1990-08
Arabian Gulf,United Arab Emirates,,,27.600000000000023,290.63,309.35,2002-08
Arabian Gulf,United Arab Emirates,7.0,,27.640000000000043,291.07,309.38,2009-08
Arabian Gulf,Iran,4.0,0.0,27.58000000000004,291.02,309.62,2016-04
Arabian Gulf,Iran,10.0,0.0,27.53000000000003,291.64,309.44,2016-04
Arabian Gulf,Iran,7.0,0.0,27.53000000000003,291.64,309.44,2016-04
Arabian Gulf,Iran,3.0,0.0,27.660000000000025,291.77,309.89,2017-03
Arabian Gulf,Iran,4.0,0.0,27.680000000000007,291.72,310.04,2017-03
Arabian Gulf,Iran,3.0,0.0,27.670000000000016,291.93,309.55,2017-03
