Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Pacific,French Polynesia,14.0,50.7,27.58000000000004,297.58,305.01,1991-03
Pacific,Australia,,51.53,26.05000000000001,292.58,306.14,1998-03
Pacific,United States,,52.0,28.150000000000034,297.38,304.77,2010-02
Pacific,Papua New Guinea,10.0,53.0,27.890000000000043,295.83,306.23,1996-02
Pacific,Australia,,53.35,26.07000000000005,293.44,305.68,1998-04
Pacific,United States,8.5,55.0,28.24000000000001,297.46,304.6,2009-12
Pacific,Australia,5.0,55.0,25.960000000000036,292.81,305.69,1998-03
Pacific,Indonesia,,55.0,28.560000000000002,297.64,305.44,2010-06
Pacific,Indonesia,,55.0,28.460000000000036,297.79,305.45,2010-06
Pacific,Indonesia,,55.0,28.439999999999998,297.57,305.47,2010-06
Pacific,United States,8.5,57.5,28.24000000000001,297.46,304.6,2008-01
Pacific,Cambodia,7.0,60.0,29.08000000000004,298.73,307.01,2010-06
Pacific,Fiji,6.75,60.0,26.600000000000023,295.6,303.87,2000-04
Pacific,Fiji,,60.0,27.920000000000016,296.63,305.23,2000-04
Pacific,Fiji,,60.0,27.850000000000023,296.54,304.83,2000-04
Pacific,Fiji,,60.0,27.04000000000002,295.69,304.16,2000-06
Pacific,Fiji,,60.0,27.08000000000004,296.36,305.14,2000-06
Pacific,United States,,60.0,28.350000000000023,298.05,304.59,2007-08
Pacific,Marshall Islands,1.0,60.0,28.360000000000014,297.5,304.37,1992-12
Pacific,Marshall Islands,2.0,60.0,28.400000000000034,298.23,305.07,1992-12
Pacific,Tuvalu,,60.0,29.189999999999998,299.2,305.05,2002-05
Pacific,United States,,61.0,28.140000000000043,297.73,304.54,2010-02
Pacific,Marshall Islands,1.0,62.0,28.360000000000014,297.5,305.29,1993-05
Pacific,Australia,,62.05,26.100000000000023,293.54,305.63,1998-03
Pacific,Papua New Guinea,10.0,63.0,27.700000000000045,296.04,305.33,1996-02
Pacific,United States,8.5,65.0,28.24000000000001,297.46,304.6,2006-04
Pacific,Australia,5.5,65.0,24.200000000000045,292.83,302.86,2002-01
Pacific,Australia,5.0,65.0,26.160000000000025,292.88,307.65,1998-03
Pacific,Fiji,,65.0,26.600000000000023,295.6,303.87,2000-04
Pacific,Indonesia,,65.0,28.460000000000036,297.28,305.1,2010-04
Pacific,Australia,2.5,68.0,23.950000000000045,290.6,303.98,2006-03
Pacific,Australia,5.5,68.0,23.950000000000045,290.6,303.98,2006-03
Pacific,Australia,,69.94,25.49000000000001,293.3,303.75,2002-03
Pacific,Cambodia,7.0,70.0,29.129999999999995,297.92,306.94,2010-07
Pacific,Fiji,,70.0,26.810000000000002,295.85,303.85,2000-06
Pacific,Fiji,,70.0,26.810000000000002,295.77,303.64,2000-06
Pacific,Fiji,7.0,70.0,26.5,295.44,304.14,2000-04
Pacific,Fiji,,70.0,26.5,295.44,304.14,2000-04
Pacific,Fiji,,70.0,26.450000000000045,295.67,304.04,2000-04
Pacific,Fiji,12.5,70.0,26.80000000000001,295.92,304.19,2000-04
Pacific,Fiji,6.5,70.0,26.82000000000005,295.76,304.04,2000-04
Pacific,Fiji,,70.0,26.450000000000045,295.67,304.04,2000-06
Pacific,Fiji,,70.0,26.439999999999998,295.48,304.0,2000-06
Pacific,Fiji,,70.0,26.510000000000048,295.39,304.0,2000-06
Pacific,Fiji,,70.0,26.53000000000003,295.61,304.23,2000-06
Pacific,Japan,,70.0,25.720000000000027,293.63,305.52,2007-08
Pacific,United States,,70.0,28.150000000000034,297.38,304.77,2010-02
Pacific,French Polynesia,,72.38,27.58000000000004,297.58,305.01,1994-04
Pacific,United States,40.0,75.0,28.33000000000004,298.09,304.9,1994-03
Pacific,Fiji,6.5,75.0,26.720000000000027,295.88,304.61,2000-04
Pacific,Palau,15.0,75.0,28.710000000000036,297.94,304.66,1998-09
Pacific,Thailand,,75.0,28.879999999999995,296.09,306.51,2010-05
Pacific,Australia,5.0,76.5,26.160000000000025,292.88,307.65,1998-03
Pacific,United States,8.5,80.0,28.24000000000001,297.46,304.6,2005-02
