Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Red Sea,Israel,,75.0,22.58000000000004,287.41,303.35,1998-07
Red Sea,Saudi Arabia,,75.0,28.010000000000048,294.03,306.51,1998-08
Red Sea,Eritrea,,30.5,29.30000000000001,295.9,307.78,1998-07
Red Sea,Eritrea,,30.5,29.24000000000001,296.51,308.04,1998-10
Red Sea,Saudi Arabia,,30.5,26.890000000000043,294.51,305.69,1998-08
Red Sea,Djibouti,7.4,0.0,28.28000000000003,296.58,306.8,2005-03
Red Sea,Djibouti,10.0,0.0,28.28000000000003,296.58,306.8,2008-05
Red Sea,Djibouti,5.0,0.0,28.29000000000002,296.37,306.51,2008-05
Red Sea,Egypt,5.0,0.0,25.470000000000027,292.77,304.82,2005-05
Red Sea,Egypt,10.0,0.0,25.470000000000027,292.77,304.82,2005-05
Red Sea,Egypt,12.0,0.0,25.450000000000045,293.15,304.7,2007-09
Red Sea,Egypt,9.0,0.0,25.450000000000045,293.15,304.7,2012-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2012-09
Red Sea,Egypt,4.5,0.0,25.450000000000045,293.15,304.7,2004-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2014-05
Red Sea,Egypt,8.0,0.0,25.450000000000045,293.15,304.7,2005-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2013-04
Red Sea,Egypt,8.0,0.0,25.450000000000045,293.15,304.7,2004-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2009-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2014-03
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2007-05
Red Sea,Egypt,6.0,0.0,25.450000000000045,293.15,304.7,2004-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2006-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2005-05
Red Sea,Egypt,11.0,0.0,25.28000000000003,292.54,304.46,2004-11
Red Sea,Egypt,5.0,0.0,25.28000000000003,292.54,304.46,2004-11
Red Sea,Egypt,7.5,0.0,25.04000000000002,291.63,304.26,2005-10
Red Sea,Egypt,11.0,0.0,25.04000000000002,291.63,304.26,2017-03
Red Sea,Egypt,5.0,0.0,25.04000000000002,291.63,304.26,2017-03
Red Sea,Egypt,10.0,0.0,25.04000000000002,291.63,304.26,2005-10
Red Sea,Egypt,5.0,0.0,25.04000000000002,291.63,304.26,2005-10
Red Sea,Egypt,11.0,0.0,25.05000000000001,291.63,304.26,2017-03
Red Sea,Egypt,5.0,0.0,25.05000000000001,291.63,304.26,2017-03
Red Sea,Egypt,10.0,0.0,25.05000000000001,291.63,304.26,2005-10
Red Sea,Egypt,5.0,0.0,25.05000000000001,291.63,304.26,2005-10
Red Sea,Egypt,10.0,0.0,24.900000000000034,292.7,304.35,2009-03
Red Sea,Egypt,10.0,0.0,24.950000000000045,292.76,303.67,2008-08
Red Sea,Egypt,11.0,0.0,24.810000000000002,292.42,303.32,2009-02
Red Sea,Egypt,10.0,0.0,25.129999999999995,292.87,303.89,2003-06
Red Sea,Egypt,10.0,0.0,24.689999999999998,292.82,303.27,2004-09
Red Sea,Egypt,10.0,0.0,24.689999999999998,292.82,303.27,2003-06
Red Sea,Egypt,5.0,0.0,24.100000000000023,291.98,302.73,2004-11
Red Sea,Egypt,10.0,0.0,24.100000000000023,291.98,302.73,2005-08
Red Sea,Egypt,10.0,0.0,24.100000000000023,291.98,302.73,2004-11
Red Sea,Egypt,10.0,0.0,24.0,291.73,302.88,2006-08
Red Sea,Egypt,15.0,0.0,24.0,291.73,302.88,2006-08
Red Sea,Egypt,11.0,0.0,24.0,291.73,302.88,2004-05
Red Sea,Egypt,4.0,0.0,24.0,291.73,302.88,2004-05
Red Sea,Egypt,10.0,0.0,24.0,291.73,302.88,2005-07
Red Sea,Egypt,8.5,0.0,23.900000000000034,291.69,302.25,2005-08
Red Sea,Egypt,5.0,0.0,23.83000000000004,291.65,302.15,2003-05
Red Sea,Egypt,5.0,0.0,23.83000000000004,291.65,302.15,2005-07
Red Sea,Egypt,10.0,0.0,23.83000000000004,291.65,302.15,2006-08
Red Sea,Egypt,10.5,0.0,23.83000000000004,291.65,302.15,2005-07
Red Sea,Egypt,8.5,0.0,25.879999999999995,293.39,305.04,2009-12
Red Sea,Egypt,3.5,0.0,25.879999999999995,293.39,305.04,2012-02
Red Sea,Egypt,8.5,0.0,25.879999999999995,293.39,305.04,2012-02
Red Sea,Egypt,3.5,0.0,25.930000000000007,293.39,305.04,2018-07
Red Sea,Egypt,8.5,0.0,25.930000000000007,293.39,305.04,2018-07
Red Sea,Egypt,3.5,0.0,25.879999999999995,293.39,305.04,2009-12
Red Sea,Egypt,6.0,0.0,25.560000000000002,293.39,305.52,2005-12
Red Sea,Egypt,5.5,0.0,25.560000000000002,293.39,305.52,2007-06
Red Sea,Egypt,11.0,0.0,25.560000000000002,293.39,305.52,2004-10
Red Sea,Egypt,5.0,0.0,25.560000000000002,293.39,305.52,2004-10
Red Sea,Egypt,3.5,0.0,25.470000000000027,292.77,304.82,2010-02
Red Sea,Egypt,8.5,0.0,25.5,292.77,304.82,2018-07
Red Sea,Egypt,3.5,0.0,25.5,292.77,304.82,2018-07
Red Sea,Egypt,8.5,0.0,25.470000000000027,292.77,304.82,2015-06
Red Sea,Egypt,3.5,0.0,25.470000000000027,292.77,304.82,2015-06
Red Sea,Egypt,8.5,0.0,25.470000000000027,292.77,304.82,2013-06
Red Sea,Egypt,3.5,0.0,25.470000000000027,292.77,304.82,2013-06
Red Sea,Egypt,8.5,0.0,25.470000000000027,292.77,304.82,2011-11
Red Sea,Egypt,8.5,0.0,25.470000000000027,292.77,304.82,2010-02
Red Sea,Egypt,3.5,0.0,25.470000000000027,292.77,304.82,2011-11
Red Sea,Egypt,5.0,0.0,25.470000000000027,293.04,304.74,2005-05
Red Sea,Egypt,6.0,0.0,25.470000000000027,293.04,304.74,2007-09
Red Sea,Egypt,5.0,0.0,25.470000000000027,293.04,304.74,2012-05
Red Sea,Egypt,6.0,0.0,25.470000000000027,292.77,304.82,2005-09
Red Sea,Egypt,12.0,0.0,25.470000000000027,292.77,304.82,2005-09
Red Sea,Egypt,12.0,0.0,25.470000000000027,292.77,304.82,2006-05
Red Sea,Egypt,8.5,0.0,25.5,292.77,304.82,2019-08
Red Sea,Egypt,3.5,0.0,25.5,292.77,304.82,2019-08
Red Sea,Egypt,8.5,0.0,25.470000000000027,292.77,304.82,2017-05
Red Sea,Egypt,3.5,0.0,25.470000000000027,292.77,304.82,2017-05
Red Sea,Egypt,6.0,0.0,25.450000000000045,293.15,304.7,2007-10
Red Sea,Egypt,14.0,0.0,25.450000000000045,293.15,304.7,2005-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2006-09
Red Sea,Egypt,6.0,0.0,25.450000000000045,293.15,304.7,2005-09
Red Sea,Egypt,11.0,0.0,25.450000000000045,293.15,304.7,2004-09
Red Sea,Egypt,10.0,0.0,25.450000000000045,293.15,304.7,2005-12
Red Sea,Egypt,12.0,0.0,25.460000000000036,293.4,305.0,2006-05
Red Sea,Egypt,6.0,0.0,25.430000000000007,293.1,304.58,2007-10
Red Sea,Egypt,8.0,0.0,25.430000000000007,293.1,304.58,2013-04
Red Sea,Egypt,7.5,0.0,25.430000000000007,293.1,304.58,2009-09
Red Sea,Egypt,12.0,0.0,25.430000000000007,293.1,304.58,2007-10
Red Sea,Egypt,11.0,0.0,25.430000000000007,293.1,304.58,2004-09
Red Sea,Egypt,8.0,0.0,25.430000000000007,293.1,304.58,2004-05
Red Sea,Egypt,5.5,0.0,25.430000000000007,293.1,304.58,2005-03
Red Sea,Egypt,6.0,0.0,26.120000000000005,293.72,304.97,2004-05
Red Sea,Egypt,10.5,0.0,26.120000000000005,293.72,304.97,2004-05
Red Sea,Egypt,5.0,0.0,25.390000000000043,293.4,304.41,2012-09
