Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Indian,France,12.0,75.0,27.54000000000002,296.58,304.79,1983-05
Indian,France,,75.0,27.54000000000002,296.58,304.79,1986-05
Indian,Thailand,,75.0,29.100000000000023,298.06,306.7,1990-03
Indian,Thailand,,75.0,29.200000000000045,297.63,306.81,1990-03
Indian,Thailand,1.0,75.0,29.100000000000023,298.06,306.7,1991-05
Indian,Thailand,,75.0,29.420000000000016,298.54,308.04,1991-07
Indian,Thailand,1.0,75.0,29.200000000000045,297.63,306.81,1995-05
Indian,Thailand,10.0,75.0,28.950000000000045,298.44,305.58,1995-05
Indian,Thailand,6.0,75.0,28.81,298.88,305.63,1995-05
Indian,Thailand,1.0,75.0,29.200000000000045,297.63,306.81,1997-02
Indian,Thailand,1.0,75.0,29.200000000000045,297.63,306.81,1997-04
Indian,Thailand,1.0,4.0,29.200000000000045,297.63,306.81,1997-05
Indian,Australia,,30.5,27.56,296.14,304.52,1997-12
Indian,Indonesia,,5.5,27.720000000000027,296.74,305.37,1998-01
Indian,Indonesia,,75.0,28.950000000000045,297.8,304.98,1998-01
Indian,Seychelles,16.5,75.0,26.720000000000027,294.73,304.42,1998-02
Indian,Seychelles,7.0,75.0,27.890000000000043,296.34,305.57,1998-02
Indian,Mauritius,,30.5,25.33000000000004,294.6,303.26,1998-02
Indian,Mauritius,,5.5,25.33000000000004,293.76,303.0,1998-02
Indian,Mauritius,,30.5,25.65000000000003,295.03,303.22,1998-02
Indian,France,,5.5,25.700000000000045,294.58,303.23,1998-02
Indian,France,,5.5,25.510000000000048,294.7,303.2,1998-02
Indian,Seychelles,13.5,75.0,27.340000000000032,296.04,305.38,1998-02
Indian,Madagascar,,30.5,26.53000000000003,295.39,304.75,1998-02
Indian,Madagascar,,30.5,26.480000000000015,295.26,305.89,1998-02
Indian,Madagascar,,30.5,28.260000000000048,297.14,305.57,1998-02
Indian,Madagascar,,30.5,28.410000000000025,296.1,307.63,1998-02
Indian,Madagascar,,30.5,26.08000000000004,294.43,310.06,1998-02
Indian,Madagascar,,30.5,27.879999999999995,297.27,305.19,1998-02
Indian,Kenya,,20.46,26.82000000000005,295.39,304.3,1998-03
Indian,Kenya,,75.0,26.850000000000023,295.58,304.32,1998-03
Indian,Tanzania,,30.5,27.379999999999995,296.0,305.58,1998-03
Indian,Tanzania,,30.5,27.370000000000005,295.87,304.92,1998-03
Indian,Kenya,,10.17,26.82000000000005,295.39,304.3,1998-03
Indian,Tanzania,,30.5,27.170000000000016,295.23,305.45,1998-03
Indian,France,,30.5,25.600000000000023,294.82,303.36,1998-03
Indian,Kenya,,10.43,26.82000000000005,295.39,304.3,1998-03
Indian,Tanzania,,75.0,27.370000000000005,295.48,305.29,1998-03
Indian,Tanzania,,75.0,27.129999999999995,295.91,305.7,1998-03
Indian,Kenya,,5.5,26.69,295.46,307.23,1998-03
Indian,Kenya,11.0,70.0,26.840000000000032,295.7,304.13,1998-03
Indian,France,,30.5,27.590000000000032,296.51,305.18,1998-04
Indian,Kenya,,66.95,26.660000000000025,295.56,308.19,1998-04
Indian,Sri Lanka,,30.5,27.850000000000023,297.22,306.66,1998-04
Indian,Seychelles,15.0,30.5,26.590000000000032,294.88,304.95,1998-04
Indian,Seychelles,15.0,30.5,26.760000000000048,294.49,305.95,1998-04
Indian,France,,30.5,25.69,294.86,303.13,1998-04
Indian,Kenya,1.0,75.0,26.80000000000001,295.39,304.3,1998-04
Indian,Sri Lanka,,75.0,28.180000000000007,297.34,304.95,1998-04
Indian,Kenya,,64.15,26.660000000000025,295.56,308.19,1998-04
Indian,France,,75.0,27.54000000000002,296.58,304.79,1998-04
Indian,Seychelles,15.0,75.0,27.340000000000032,296.04,305.38,1998-04
Indian,Seychelles,15.0,75.0,26.80000000000001,295.1,305.64,1998-04
Indian,Seychelles,,75.0,27.860000000000017,296.64,305.45,1998-04
Indian,Sri Lanka,,75.0,28.08000000000004,296.82,305.82,1998-04
Indian,Mauritius,,5.5,25.340000000000032,293.76,303.1,1998-04
Indian,Maldives,,75.0,28.680000000000007,298.54,304.94,1998-04
Indian,Sri Lanka,,75.0,28.360000000000017,297.39,305.2,1998-04
Indian,Kenya,,30.5,26.52000000000004,294.93,305.08,1998-04
Indian,Tanzania,,88.0,27.129999999999995,295.91,305.7,1998-04
Indian,United Kingdom,,75.0,28.05000000000001,297.58,305.76,1998-04
Indian,Sri Lanka,,75.0,28.28000000000003,297.32,305.17,1998-04
Indian,Indonesia,,30.5,28.94,297.51,305.32,1998-05
Indian,Madagascar,,29.52,26.54000000000002,295.5,305.54,1998-05
Indian,Australia,,30.5,28.80000000000001,297.69,306.5,1998-05
Indian,India,,30.5,25.910000000000025,292.04,304.83,1998-05
Indian,India,,30.5,28.55000000000001,298.33,306.17,1998-05
Indian,Kenya,,51.38,26.82000000000005,295.39,304.3,1998-05
Indian,Tanzania,,30.5,27.170000000000016,295.23,305.45,1998-05
Indian,Madagascar,,75.0,26.55000000000001,294.97,305.91,1998-05
Indian,Indonesia,,75.0,29.04000000000002,298.42,306.32,1998-05
Indian,Sri Lanka,,30.5,28.32000000000005,298.02,308.83,1998-05
Indian,India,,75.0,28.480000000000015,298.32,305.36,1998-05
Indian,Comoro Islands,,75.0,27.55000000000001,296.64,305.35,1998-05
Indian,Comoro Islands,,75.0,27.57000000000005,296.48,306.16,1998-05
Indian,Australia,,75.0,28.710000000000036,297.7,306.51,1998-05
Indian,Australia,,75.0,28.74000000000001,298.05,307.01,1998-05
Indian,India,,85.0,28.55000000000001,297.86,306.7,1998-05
Indian,Kenya,1.0,75.0,26.80000000000001,295.39,304.3,1998-05
Indian,Thailand,1.0,5.5,29.200000000000045,297.63,306.81,1998-05
Indian,Seychelles,23.0,70.0,26.670000000000016,294.95,305.99,1998-05
Indian,Australia,,5.5,28.610000000000017,297.44,306.48,1998-05
Indian,Australia,,5.5,28.610000000000017,297.45,306.54,1998-05
Indian,Sri Lanka,42.0,5.5,28.620000000000005,296.38,307.54,1998-05
Indian,Kenya,,57.87,26.82000000000005,295.39,304.3,1998-05
Indian,Kenya,,57.8,26.82000000000005,295.39,304.3,1998-05
Indian,Maldives,6.5,75.0,28.870000000000005,298.63,305.2,1998-05
Indian,Maldives,,75.0,28.79000000000002,298.82,304.86,1998-05
Indian,India,,75.0,28.390000000000043,297.54,305.33,1998-05
Indian,Oman,,75.0,25.79000000000002,292.9,311.14,1998-05
Indian,Tanzania,,30.5,27.129999999999995,295.75,306.07,1998-05
Indian,Tanzania,,30.5,27.15000000000003,296.22,306.05,1998-05
Indian,Tanzania,,30.5,27.110000000000017,295.75,305.32,1998-05
Indian,Tanzania,,75.0,27.340000000000032,295.85,305.6,1998-05
Indian,Tanzania,,75.0,27.230000000000015,295.78,305.3,1998-05
Indian,Tanzania,,75.0,27.129999999999995,296.1,304.98,1998-05
Indian,Sri Lanka,,75.0,28.24000000000001,297.54,305.2,1998-05
Indian,Seychelles,,75.0,27.850000000000023,296.1,305.68,1998-05
Indian,Maldives,,75.0,28.78000000000003,298.76,305.31,1998-05
Indian,France,,75.0,27.629999999999995,296.58,305.14,1998-05
Indian,Oman,,75.0,25.910000000000025,291.6,304.59,1998-05
Indian,Maldives,,75.0,28.680000000000007,298.39,305.48,1998-05
Indian,Maldives,6.5,75.0,28.640000000000043,298.22,305.98,1998-05
Indian,Maldives,20.0,75.0,28.640000000000043,298.26,304.76,1998-05
Indian,Maldives,1.15,75.0,28.640000000000043,298.22,305.22,1998-05
Indian,Maldives,,75.0,28.79000000000002,298.99,305.08,1998-05
Indian,Kenya,,54.3,26.82000000000005,295.39,304.3,1998-06
Indian,Kenya,,75.0,26.82000000000005,295.39,304.3,1998-06
Indian,Indonesia,,5.5,27.81,297.07,305.77,1998-06
Indian,Indonesia,,5.5,28.200000000000045,297.86,305.01,1998-06
Indian,Indonesia,,75.0,28.170000000000016,297.48,305.42,1998-06
Indian,India,,75.0,28.870000000000005,297.52,307.73,1998-06
Indian,India,,81.8,28.510000000000048,297.98,305.26,1998-06
Indian,Maldives,,30.5,28.75,298.88,305.1,1998-07
Indian,India,,89.26,28.65000000000003,298.09,306.35,1998-07
