Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Red Sea,Israel,,75.0,22.58000000000004,287.41,303.35,1998-07
Red Sea,Eritrea,,30.5,29.30000000000001,295.9,307.78,1998-07
Red Sea,Saudi Arabia,,75.0,28.010000000000048,294.03,306.51,1998-08
Red Sea,Saudi Arabia,,30.5,26.890000000000043,294.51,305.69,1998-08
Red Sea,Eritrea,,30.5,29.24000000000001,296.51,308.04,1998-10
Red Sea,Egypt,5.0,0.0,23.83000000000004,291.65,302.15,2003-05
Red Sea,Egypt,10.0,0.0,25.129999999999995,292.87,303.89,2003-06
Red Sea,Egypt,10.0,0.0,25.02000000000004,292.02,304.04,2003-06
Red Sea,Egypt,10.0,0.0,25.19,292.54,303.92,2003-06
Red Sea,Egypt,10.0,0.0,24.69,292.82,303.27,2003-06
Red Sea,Egypt,10.0,0.25,24.69,292.82,303.27,2003-10
Red Sea,Egypt,10.0,0.0,25.02000000000004,292.02,304.04,2003-10
Red Sea,Egypt,10.0,0.0,25.15000000000003,292.53,303.72,2003-10
Red Sea,Sudan,5.0,0.0,28.220000000000027,295.53,306.82,2004-01
Red Sea,Sudan,5.0,0.0,28.129999999999995,295.53,307.2,2004-03
Red Sea,Sudan,5.0,0.0,28.129999999999995,295.46,306.94,2004-03
Red Sea,Sudan,5.0,0.0,28.220000000000027,295.53,306.82,2004-04
Red Sea,Sudan,10.0,0.0,28.220000000000027,295.53,306.82,2004-04
Red Sea,Sudan,5.0,0.0,28.129999999999995,295.46,306.94,2004-04
Red Sea,Sudan,10.0,0.0,28.129999999999995,295.46,306.94,2004-04
Red Sea,Egypt,12.0,0.0,25.370000000000005,293.45,304.36,2004-05
Red Sea,Egypt,10.5,0.0,26.120000000000005,293.72,304.97,2004-05
Red Sea,Egypt,7.5,0.0,25.230000000000015,293.05,304.49,2004-05
Red Sea,Egypt,6.0,0.0,25.450000000000045,293.15,304.7,2004-05
Red Sea,Egypt,6.0,0.0,26.120000000000005,293.72,304.97,2004-05
Red Sea,Egypt,4.0,0.0,24.0,291.73,302.88,2004-05
Red Sea,Egypt,11.0,0.0,24.0,291.73,302.88,2004-05
Red Sea,Egypt,5.0,0.0,23.83000000000004,291.65,302.15,2004-05
Red Sea,Egypt,6.0,0.0,25.370000000000005,293.45,304.36,2004-05
Red Sea,Egypt,8.0,0.0,25.430000000000007,293.1,304.58,2004-05
Red Sea,Sudan,7.0,0.0,28.129999999999995,295.53,307.2,2004-06
Red Sea,Sudan,15.0,0.0,28.25,295.07,306.82,2004-06
Red Sea,Sudan,10.0,0.0,28.220000000000027,295.53,306.82,2004-06
Red Sea,Sudan,5.0,0.0,28.129999999999995,295.53,307.2,2004-07
Red Sea,Egypt,5.0,0.25,25.430000000000007,293.1,304.58,2004-09
Red Sea,Egypt,11.0,0.0,25.430000000000007,293.1,304.58,2004-09
Red Sea,Egypt,8.0,0.0,25.450000000000045,293.15,304.7,2004-09
Red Sea,Egypt,4.5,0.0,25.450000000000045,293.15,304.7,2004-09
Red Sea,Egypt,11.0,0.0,25.450000000000045,293.15,304.7,2004-09
Red Sea,Egypt,10.0,0.0,24.69,292.82,303.27,2004-09
Red Sea,Egypt,11.0,0.0,25.56,293.39,305.52,2004-10
Red Sea,Egypt,5.0,0.0,25.56,293.39,305.52,2004-10
Red Sea,Egypt,10.0,0.0,24.0,291.73,302.88,2004-11
Red Sea,Egypt,5.0,0.0,23.90000000000003,291.69,302.25,2004-11
Red Sea,Egypt,5.0,0.0,24.100000000000023,291.98,302.73,2004-11
Red Sea,Egypt,11.0,0.0,25.28000000000003,292.54,304.46,2004-11
Red Sea,Egypt,6.0,0.0,24.0,291.73,302.88,2004-11
Red Sea,Egypt,10.0,0.0,23.74000000000001,291.64,301.84,2004-11
Red Sea,Egypt,5.0,0.0,23.74000000000001,291.64,301.84,2004-11
Red Sea,Egypt,5.5,0.0,23.83000000000004,291.65,302.15,2004-11
Red Sea,Egypt,10.0,0.0,23.83000000000004,291.65,302.15,2004-11
Red Sea,Egypt,10.0,0.0,24.100000000000023,291.98,302.73,2004-11
Red Sea,Egypt,5.0,0.0,25.28000000000003,292.54,304.46,2004-11
Red Sea,Egypt,8.0,0.5,23.970000000000027,291.67,302.45,2004-11
Red Sea,Egypt,3.0,0.25,23.970000000000027,291.67,302.45,2004-11
Red Sea,Egypt,5.0,0.5,23.970000000000027,291.67,302.45,2004-11
Red Sea,Djibouti,5.1,0.25,28.29000000000002,296.37,306.51,2005-03
Red Sea,Djibouti,7.4,0.0,28.28000000000003,296.58,306.8,2005-03
Red Sea,Djibouti,5.9,0.5,28.230000000000015,295.86,306.48,2005-03
Red Sea,Egypt,5.5,0.0,25.430000000000007,293.1,304.58,2005-03
Red Sea,Djibouti,6.0,0.75,28.28000000000003,296.58,306.8,2005-03
Red Sea,Egypt,5.0,0.0,25.370000000000005,293.45,304.36,2005-03
Red Sea,Djibouti,6.7,1.75,28.230000000000015,295.86,306.48,2005-03
Red Sea,Egypt,5.0,0.0,25.470000000000027,292.77,304.82,2005-05
Red Sea,Egypt,10.0,0.0,25.470000000000027,292.77,304.82,2005-05
Red Sea,Egypt,8.0,0.0,25.450000000000045,293.15,304.7,2005-05
Red Sea,Egypt,5.0,0.0,25.470000000000027,293.04,304.74,2005-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,293.15,304.7,2005-05
Red Sea,Egypt,10.5,0.0,23.83000000000004,291.65,302.15,2005-07
Red Sea,Egypt,11.0,0.0,24.03000000000003,291.74,302.98,2005-07
Red Sea,Egypt,5.0,0.0,23.83000000000004,291.65,302.15,2005-07
Red Sea,Egypt,10.4,0.0,23.83000000000004,291.65,302.15,2005-07
Red Sea,Egypt,10.0,0.0,24.0,291.73,302.88,2005-07
Red Sea,Egypt,6.5,0.0,23.83000000000004,291.65,302.15,2005-07
Red Sea,Egypt,8.5,0.0,23.90000000000003,291.69,302.25,2005-08
Red Sea,Egypt,8.0,0.0,23.83000000000004,291.65,302.15,2005-08
Red Sea,Egypt,10.0,0.0,24.100000000000023,291.98,302.73,2005-08
Red Sea,Egypt,5.0,0.0,25.340000000000032,292.86,304.5,2005-09
Red Sea,Egypt,14.0,0.0,25.450000000000045,293.15,304.7,2005-09
Red Sea,Egypt,4.0,0.0,25.390000000000043,293.4,304.41,2005-09
Red Sea,Egypt,6.0,0.0,25.450000000000045,293.15,304.7,2005-09
Red Sea,Egypt,12.0,0.0,25.470000000000027,292.77,304.82,2005-09
Red Sea,Egypt,6.0,0.0,25.470000000000027,292.77,304.82,2005-09
Red Sea,Egypt,10.0,0.0,25.05000000000001,291.63,304.26,2005-10
Red Sea,Egypt,5.0,0.0,25.05000000000001,291.63,304.26,2005-10
Red Sea,Egypt,5.0,0.0,25.04000000000002,291.63,304.26,2005-10
