Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Pacific,French Polynesia,14.0,50.7,27.58000000000004,24.430000000000007,31.860000000000014,1991-03
Pacific,Australia,,51.53,26.05000000000001,19.430000000000007,32.99000000000001,1998-03
Pacific,United States,,52.0,28.150000000000034,24.230000000000018,31.620000000000005,2010-02
Pacific,Papua New Guinea,10.0,53.0,27.890000000000043,22.680000000000007,33.08000000000004,1996-02
Pacific,Australia,,53.35,26.07000000000005,20.29000000000002,32.53000000000003,1998-04
Pacific,United States,8.5,55.0,28.24000000000001,24.310000000000002,31.450000000000045,2009-12
Pacific,Australia,5.0,55.0,25.960000000000036,19.660000000000025,32.54000000000002,1998-03
Pacific,Indonesia,,55.0,28.560000000000002,24.49000000000001,32.29000000000002,2010-06
Pacific,Indonesia,,55.0,28.460000000000036,24.640000000000043,32.30000000000001,2010-06
Pacific,Indonesia,,55.0,28.439999999999998,24.420000000000016,32.32000000000005,2010-06
Pacific,United States,8.5,57.5,28.24000000000001,24.310000000000002,31.450000000000045,2008-01
Pacific,Cambodia,7.0,60.0,29.08000000000004,25.58000000000004,33.860000000000014,2010-06
Pacific,Fiji,6.75,60.0,26.600000000000023,22.450000000000045,30.720000000000027,2000-04
Pacific,Fiji,,60.0,27.920000000000016,23.480000000000018,32.08000000000004,2000-04
Pacific,Fiji,,60.0,27.850000000000023,23.390000000000043,31.680000000000007,2000-04
Pacific,Fiji,,60.0,27.04000000000002,22.54000000000002,31.010000000000048,2000-06
Pacific,Fiji,,60.0,27.08000000000004,23.210000000000036,31.99000000000001,2000-06
Pacific,United States,,60.0,28.350000000000023,24.900000000000034,31.439999999999998,2007-08
Pacific,Marshall Islands,1.0,60.0,28.360000000000014,24.350000000000023,31.220000000000027,1992-12
Pacific,Marshall Islands,2.0,60.0,28.400000000000034,25.08000000000004,31.920000000000016,1992-12
Pacific,Tuvalu,,60.0,29.189999999999998,26.05000000000001,31.900000000000034,2002-05
Pacific,United States,,61.0,28.140000000000043,24.58000000000004,31.390000000000043,2010-02
Pacific,Marshall Islands,1.0,62.0,28.360000000000014,24.350000000000023,32.14000000000004,1993-05
Pacific,Australia,,62.05,26.100000000000023,20.390000000000043,32.48000000000002,1998-03
Pacific,Papua New Guinea,10.0,63.0,27.700000000000045,22.890000000000043,32.18000000000001,1996-02
Pacific,United States,8.5,65.0,28.24000000000001,24.310000000000002,31.450000000000045,2006-04
Pacific,Australia,5.5,65.0,24.200000000000045,19.680000000000007,29.710000000000036,2002-01
Pacific,Australia,5.0,65.0,26.160000000000025,19.730000000000018,34.5,1998-03
Pacific,Fiji,,65.0,26.600000000000023,22.450000000000045,30.720000000000027,2000-04
Pacific,Indonesia,,65.0,28.460000000000036,24.129999999999995,31.950000000000045,2010-04
Pacific,Australia,2.5,68.0,23.950000000000045,17.450000000000045,30.83000000000004,2006-03
Pacific,Australia,5.5,68.0,23.950000000000045,17.450000000000045,30.83000000000004,2006-03
Pacific,Australia,,69.94,25.49000000000001,20.150000000000034,30.600000000000023,2002-03
Pacific,Cambodia,7.0,70.0,29.129999999999995,24.77000000000004,33.79000000000002,2010-07
Pacific,Fiji,,70.0,26.810000000000002,22.700000000000045,30.700000000000045,2000-06
Pacific,Fiji,,70.0,26.810000000000002,22.620000000000005,30.49000000000001,2000-06
Pacific,Fiji,7.0,70.0,26.5,22.29000000000002,30.99000000000001,2000-04
Pacific,Fiji,,70.0,26.5,22.29000000000002,30.99000000000001,2000-04
Pacific,Fiji,,70.0,26.450000000000045,22.52000000000004,30.890000000000043,2000-04
Pacific,Fiji,12.5,70.0,26.80000000000001,22.77000000000004,31.04000000000002,2000-04
Pacific,Fiji,6.5,70.0,26.82000000000005,22.610000000000014,30.890000000000043,2000-04
Pacific,Fiji,,70.0,26.450000000000045,22.52000000000004,30.890000000000043,2000-06
