Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Red Sea,Israel,,75.0,22.58000000000004,14.260000000000048,30.200000000000045,1998-07
Red Sea,Saudi Arabia,,75.0,28.010000000000048,20.879999999999995,33.360000000000014,1998-08
Red Sea,Eritrea,,30.5,29.30000000000001,22.75,34.629999999999995,1998-07
Red Sea,Eritrea,,30.5,29.24000000000001,23.360000000000014,34.89000000000004,1998-10
Red Sea,Saudi Arabia,,30.5,26.890000000000043,21.360000000000014,32.54000000000002,1998-08
Red Sea,Djibouti,7.4,0.0,28.28000000000003,23.430000000000007,33.650000000000034,2005-03
Red Sea,Djibouti,10.0,0.0,28.28000000000003,23.430000000000007,33.650000000000034,2008-05
Red Sea,Djibouti,5.0,0.0,28.29000000000002,23.220000000000027,33.360000000000014,2008-05
Red Sea,Egypt,5.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2005-05
Red Sea,Egypt,10.0,0.0,25.470000000000027,19.620000000000005,31.670000000000016,2005-05
Red Sea,Egypt,12.0,0.0,25.450000000000045,20.0,31.55000000000001,2007-09
Red Sea,Egypt,9.0,0.0,25.450000000000045,20.0,31.55000000000001,2012-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2012-09
Red Sea,Egypt,4.5,0.0,25.450000000000045,20.0,31.55000000000001,2004-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2014-05
Red Sea,Egypt,8.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2013-04
Red Sea,Egypt,8.0,0.0,25.450000000000045,20.0,31.55000000000001,2004-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2009-09
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2014-03
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2007-05
Red Sea,Egypt,6.0,0.0,25.450000000000045,20.0,31.55000000000001,2004-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2006-05
Red Sea,Egypt,5.0,0.0,25.450000000000045,20.0,31.55000000000001,2005-05
Red Sea,Egypt,11.0,0.0,25.28000000000003,19.390000000000043,31.310000000000002,2004-11
Red Sea,Egypt,5.0,0.0,25.28000000000003,19.390000000000043,31.310000000000002,2004-11
Red Sea,Egypt,7.5,0.0,25.04000000000002,18.480000000000018,31.110000000000014,2005-10
Red Sea,Egypt,11.0,0.0,25.04000000000002,18.480000000000018,31.110000000000014,2017-03
Red Sea,Egypt,5.0,0.0,25.04000000000002,18.480000000000018,31.110000000000014,2017-03
Red Sea,Egypt,10.0,0.0,25.04000000000002,18.480000000000018,31.110000000000014,2005-10
Red Sea,Egypt,5.0,0.0,25.04000000000002,18.480000000000018,31.110000000000014,2005-10
Red Sea,Egypt,11.0,0.0,25.05000000000001,18.480000000000018,31.110000000000014,2017-03
Red Sea,Egypt,5.0,0.0,25.05000000000001,18.480000000000018,31.110000000000014,2017-03
