Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Red Sea,Eritrea,,30.5,29.30000000000001,22.75,34.629999999999995,1998-07,South Red Sea,15.0,40.0
Red Sea,Eritrea,,30.5,29.24000000000001,23.360000000000017,34.89000000000004,1998-10,South Red Sea,15.0,40.0
Indian,Djibouti,3.0,0.0,28.94,23.83000000000004,39.99000000000001,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,3.9,0.0,28.860000000000017,22.30000000000001,39.99000000000001,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,6.8,0.0,28.870000000000005,23.730000000000015,39.99000000000001,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,10.0,0.0,28.930000000000007,23.49000000000001,33.77000000000004,2008-04,South Red Sea,15.0,40.0
Indian,Djibouti,5.0,0.0,28.930000000000007,23.49000000000001,33.77000000000004,2008-04,South Red Sea,15.0,40.0
Indian,Djibouti,6.5,0.0,28.930000000000007,23.49000000000001,33.77000000000004,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,2.3,0.0,28.879999999999995,23.980000000000015,33.60000000000002,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,10.0,0.0,28.850000000000023,24.05000000000001,34.170000000000016,2008-04,South Red Sea,15.0,40.0
Indian,Djibouti,5.0,0.0,28.94,23.83000000000004,33.73000000000002,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,4.7,0.0,28.930000000000007,24.170000000000016,33.77000000000004,2005-03,South Red Sea,15.0,40.0
Red Sea,Djibouti,7.4,0.0,28.28000000000003,23.430000000000007,33.650000000000034,2005-03,South Red Sea,15.0,40.0
Red Sea,Djibouti,10.0,0.0,28.28000000000003,23.430000000000007,33.650000000000034,2008-05,South Red Sea,15.0,40.0
Red Sea,Djibouti,5.0,0.0,28.29000000000002,23.220000000000027,33.360000000000014,2008-05,South Red Sea,15.0,40.0
Indian,Yemen,6.0,0.0,26.230000000000015,21.40000000000003,36.400000000000034,2008-04,South Red Sea,15.0,40.0
Indian,Yemen,14.0,0.0,26.390000000000043,21.58000000000004,32.129999999999995,2008-04,South Red Sea,15.0,40.0
Red Sea,Yemen,9.0,0.0,28.02000000000004,23.05000000000001,32.99000000000001,2008-07,South Red Sea,15.0,40.0
Indian,Yemen,10.0,0.0,26.33000000000004,21.410000000000025,33.08000000000004,2008-04,South Red Sea,15.0,40.0
Indian,Yemen,4.5,0.0,26.450000000000045,21.54000000000002,32.64000000000004,2008-04,South Red Sea,15.0,40.0
Indian,Yemen,6.0,0.0,26.450000000000045,21.54000000000002,32.64000000000004,2008-04,South Red Sea,15.0,40.0
Indian,Yemen,9.0,0.0,26.390000000000043,21.360000000000017,31.370000000000005,2008-04,South Red Sea,15.0,40.0
Indian,Yemen,11.0,0.0,26.360000000000017,20.83000000000004,33.52000000000004,2008-05,South Red Sea,15.0,40.0
Indian,Yemen,5.0,0.0,27.53000000000003,23.600000000000023,39.99000000000001,2008-07,South Red Sea,15.0,40.0
Indian,Yemen,10.0,0.0,27.53000000000003,23.600000000000023,39.99000000000001,2008-07,South Red Sea,15.0,40.0
Indian,Yemen,5.0,0.0,27.340000000000032,23.33000000000004,39.99000000000001,2008-07,South Red Sea,15.0,40.0
Red Sea,Yemen,9.0,0.0,28.82000000000005,23.460000000000036,34.05000000000001,2008-07,South Red Sea,15.0,40.0
Red Sea,Yemen,5.0,0.0,28.82000000000005,23.460000000000036,34.05000000000001,2008-07,South Red Sea,15.0,40.0
Indian,Djibouti,4.8,0.25,28.970000000000027,23.83000000000004,39.99000000000001,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,2.6,0.25,28.850000000000023,24.05000000000001,34.170000000000016,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,3.0,0.25,28.930000000000007,23.49000000000001,33.77000000000004,2005-03,South Red Sea,15.0,40.0
Red Sea,Djibouti,5.1,0.25,28.29000000000002,23.220000000000027,33.360000000000014,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,4.7,0.5,28.950000000000045,24.140000000000043,39.99000000000001,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,3.4,0.5,28.850000000000023,24.05000000000001,34.170000000000016,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,4.2,0.5,28.160000000000025,23.450000000000045,33.210000000000036,2005-03,South Red Sea,15.0,40.0
Red Sea,Djibouti,5.9,0.5,28.230000000000015,22.710000000000036,33.33000000000004,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,3.9,0.75,28.94,23.110000000000017,39.99000000000001,2005-03,South Red Sea,15.0,40.0
Indian,Djibouti,10.0,0.75,28.930000000000007,23.49000000000001,33.77000000000004,2008-04,South Red Sea,15.0,40.0
Red Sea,Djibouti,6.0,0.75,28.28000000000003,23.430000000000007,33.650000000000034,2005-03,South Red Sea,15.0,40.0
Red Sea,Yemen,5.0,1.25,28.02000000000004,23.05000000000001,32.99000000000001,2008-07,South Red Sea,15.0,40.0
Red Sea,Djibouti,6.7,1.75,28.230000000000015,22.710000000000036,33.33000000000004,2005-03,South Red Sea,15.0,40.0
Red Sea,Yemen,9.5,5.0,27.99000000000001,22.700000000000045,34.08000000000004,2008-07,South Red Sea,15.0,40.0
Red Sea,Yemen,5.0,10.0,27.99000000000001,22.700000000000045,34.08000000000004,2008-07,South Red Sea,15.0,40.0
