Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month,ocean_coordinate,latitude,longitude
Atlantic,Bermuda,,75.0,22.94,16.010000000000048,29.83000000000004,1998-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,,75.0,22.94,16.99000000000001,29.640000000000043,2003-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,25.83000000000004,22.200000000000045,30.27000000000004,2005-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,25.960000000000036,21.610000000000017,29.930000000000007,1994-03,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,25.960000000000036,21.610000000000017,29.930000000000007,2005-03,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,28.170000000000016,23.29000000000002,37.420000000000016,2003-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,25.930000000000007,21.960000000000036,29.760000000000048,1998-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,25.680000000000007,22.02000000000004,30.230000000000015,1998-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,10.5,75.0,26.80000000000001,22.24000000000001,30.890000000000043,1998-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,26.510000000000048,22.480000000000015,33.14000000000004,1998-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Brazil,,75.0,26.75,22.470000000000027,31.110000000000017,2003-04,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,,30.5,22.960000000000036,16.77000000000004,29.470000000000027,1988-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,,30.5,22.870000000000005,16.710000000000036,30.350000000000023,1988-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,,30.5,22.910000000000025,16.99000000000001,30.640000000000043,1988-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,12.5,30.5,22.90000000000003,16.210000000000036,29.58000000000004,2000-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,8.5,0.1,23.03000000000003,17.08000000000004,29.420000000000016,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,7.8,0.1,23.03000000000003,17.08000000000004,29.420000000000016,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,9.0,0.1,23.03000000000003,17.08000000000004,29.420000000000016,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,14.0,0.1,23.03000000000003,17.08000000000004,29.420000000000016,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,7.8,0.1,22.94,16.010000000000048,29.83000000000004,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,11.0,0.1,22.970000000000027,16.670000000000016,29.680000000000007,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,4.3,0.1,22.860000000000017,16.30000000000001,29.760000000000048,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,4.9,0.1,22.860000000000017,16.30000000000001,29.760000000000048,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,4.0,0.2,22.960000000000036,16.77000000000004,29.470000000000027,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,3.0,0.2,22.879999999999995,15.82000000000005,29.430000000000007,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,7.3,0.2,22.870000000000005,16.710000000000036,30.350000000000023,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,6.3,0.2,22.890000000000043,16.670000000000016,29.69,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,13.7,0.3,22.970000000000027,16.670000000000016,29.680000000000007,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,3.7,0.3,22.879999999999995,15.82000000000005,29.430000000000007,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,7.0,0.3,22.870000000000005,16.710000000000036,30.350000000000023,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,6.0,0.3,22.879999999999995,16.670000000000016,29.760000000000048,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,4.6,0.3,22.94,16.99000000000001,29.640000000000043,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,15.5,0.3,22.950000000000045,17.110000000000014,29.57000000000005,2003-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,15.5,0.3,23.0,16.680000000000007,29.680000000000007,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,14.6,0.3,23.03000000000003,17.08000000000004,29.420000000000016,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,8.8,0.3,22.94,16.010000000000048,29.83000000000004,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,11.0,0.3,22.970000000000027,16.670000000000016,29.680000000000007,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,7.6,0.3,22.960000000000036,16.77000000000004,29.470000000000027,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,8.0,0.3,22.970000000000027,16.450000000000045,29.58000000000004,2005-10,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,5.8,0.4,22.94,16.010000000000048,29.49000000000001,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,2.4,0.6,22.960000000000036,16.77000000000004,29.470000000000027,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,16.5,0.6,23.0,16.680000000000007,29.680000000000007,2005-08,SouthWest Atlantic Ocean,-35.0,-50.0
Atlantic,Bermuda,2.7,0.7,22.960000000000036,16.77000000000004,29.470000000000027,2005-07,SouthWest Atlantic Ocean,-35.0,-50.0
